date,Change,label
,,
2021-03-22,24.110107421875,up
2021-03-23,-27.080078125,down
2021-03-24,-30.7900390625,down
2021-03-25,30.179931640625,up
2021-03-26,57.419921875,up
2021-03-29,1.780029296875,up
2021-03-30,-4.7900390625,down
2021-03-31,5.639892578125,up
2021-04-01,27.090087890625,up
2021-04-05,43.469970703125,up
2021-04-06,-1.630126953125,down
2021-04-07,5.659912109375,up
2021-04-08,7.219970703125,up
2021-04-09,32.68994140625,up
2021-04-12,3.2802734375,up
2021-04-13,11.48974609375,up
2021-04-14,-16.919921875,down
2021-04-15,30.66015625,up
2021-04-16,11.330078125,up
2021-04-19,-16.5400390625,down
2021-04-20,-24.240234375,down
2021-04-21,45.0,up
2021-04-22,-35.47998046875,down
2021-04-23,41.39013671875,up
2021-04-26,2.59033203125,up
2021-04-27,-1.52978515625,down
2021-04-28,-1.9599609375,down
2021-04-29,5.330078125,up
2021-04-30,-16.93017578125,down
2021-05-03,0.68017578125,up
2021-05-04,-14.3798828125,down
2021-05-05,-9.47021484375,down
2021-05-06,32.47998046875,up
2021-05-07,22.26025390625,up
2021-05-10,-39.85986328125,down
2021-05-11,1.76025390625,up
2021-05-12,-67.509765625,down
2021-05-13,37.510009765625,up
2021-05-14,44.27001953125,up
2021-05-17,-6.6298828125,down
2021-05-18,-38.10986328125,down
2021-05-19,17.22998046875,up
2021-05-20,37.14990234375,up
2021-05-21,-12.75,down
2021-05-24,26.8896484375,up
2021-05-25,-17.81005859375,down
2021-05-26,4.400390625,up
2021-05-27,-1.06005859375,down
2021-05-28,-6.66015625,down
2021-06-01,-14.47998046875,down
2021-06-02,1.30029296875,up
2021-06-03,1.419921875,up
2021-06-04,23.84033203125,up
2021-06-07,-2.81982421875,down
2021-06-08,-6.55029296875,down
2021-06-09,-13.4404296875,down
2021-06-10,10.6201171875,up
2021-06-11,4.5400390625,up
2021-06-14,6.83984375,up
2021-06-15,-8.68994140625,down
2021-06-16,-25.169921875,down
2021-06-17,1.48974609375,up
2021-06-18,-38.32958984375,down
2021-06-21,51.39013671875,up
2021-06-22,21.830078125,up
2021-06-23,-7.43017578125,down
2021-06-24,9.52001953125,up
2021-06-25,6.25,up
2021-06-28,5.7099609375,up
2021-06-29,-1.41015625,down
2021-06-30,6.85009765625,up
2021-07-01,19.2099609375,up
2021-07-02,25.73974609375,up
2021-07-06,-12.919921875,down
2021-07-07,7.1201171875,up
2021-07-08,-0.25,down
2021-07-09,40.169921875,up
2021-07-12,12.2197265625,up
2021-07-13,-11.85986328125,down
2021-07-14,-5.81005859375,down
2021-07-15,-8.990234375,down
2021-07-16,-40.27001953125,down
2021-07-19,-37.90966796875,down
2021-07-20,57.9501953125,up
2021-07-21,27.56005859375,up
2021-07-22,6.2099609375,up
2021-07-23,30.58984375,up
2021-07-26,12.7197265625,up
2021-07-27,-14.919921875,down
2021-07-28,-2.31005859375,down
2021-07-29,15.56005859375,up
2021-07-30,0.1396484375,up
2021-08-02,-19.69970703125,down
2021-08-03,30.40966796875,up
2021-08-04,-13.2900390625,down
2021-08-05,20.240234375,up
2021-08-06,7.4501953125,up
2021-08-09,-5.419921875,down
2021-08-10,0.9599609375,up
2021-08-11,0.22998046875,up
2021-08-12,14.75,up
2021-08-13,3.16015625,up
2021-08-16,18.06005859375,up
2021-08-17,-14.0400390625,down
2021-08-18,-40.669921875,down
2021-08-19,23.35986328125,up
2021-08-20,31.10986328125,up
2021-08-23,29.23974609375,up
2021-08-24,1.830078125,up
2021-08-25,5.73974609375,up
2021-08-26,-23.75,down
2021-08-27,35.27001953125,up
2021-08-30,15.0302734375,up
2021-08-31,-7.06982421875,down
2021-09-01,-4.7099609375,down
2021-09-02,2.47021484375,up
2021-09-03,3.01025390625,up
2021-09-07,-15.35009765625,down
2021-09-08,-4.02001953125,down
